ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
P21_Yao,P21_Yao,,-13.6119,35.2387,yaoo1241,,Yao
P22_Mwera,P22_Mwera,,-11.3304,34.8959,mwer1247,,Mwera (Nyasa)
P23_Simakonde,P23_Simakonde,,-10.9906,39.5133,mako1251,,Makonde
P25_Mabia,P25_Mabia,,-10.9906,39.5133,mako1251,,Makonde
P31_Emakhua,P31_Emakhua,,-14.8509,38.8052,makh1264,,Makhuwa
P31G_Ikorovere,P31G_Ikorovere,,-11.9553,38.6874,makh1261,,Makhuwa-Meetto
R11_Umbundu,R11_Umbundu,,-12.4763,14.4148,umbu1257,,Umbundu
R21_Kwanyama,R21_Kwanyama,,-17.7176,16.58,kuan1247,,Kuanyama
R22_Ndonga,R22_Ndonga,,-17.20849,29.75725,shon1251,,Shona
R31_Herero,R31_Herero,,-21.0231,20.5655,here1253,,Herero
S11_Shona,S11_Shona,,-17.20849,29.75725,shon1251,,Shona
S16_Kalanga,S16_Kalanga,,-21.0231,20.5655,here1253,,Herero
S21_Venda,S21_Venda,,-22.188,29.9523,vend1245,,Venda
S31_Tswana,S31_Tswana,,-24.368,24.7587,tswa1253,,Tswana
S311_Shekgalagari,S311_Shekgalagari,,-24.9208,22.72016,kgal1244,,Kgalagadi
S41_Xhosa,S41_Xhosa,,-31.0389,28.0769,xhos1239,,Xhosa
S42_Zulu,S42_Zulu,,-28.9,30.2,zulu1248,,Zulu
S44_Ndebele,S44_Ndebele,,-20.2513,27.4096,nort2795,,Zimbabwean Ndebele
S51_Tshwa,S51_Tshwa,,-22.9891,32.4287,tswa1255,,Tswa
S53_Tsonga,S53_Tsonga,,-23.5754,31.8105,tson1249,,Tsonga
Tiv_Tivoid,Tiv_Tivoid,,6.88039,9.26287,tivv1240,,Tiv
Zaambo_Jarawan,Zaambo_Jarawan,,9.60769,12.2439,mbul1260,,Mbula-Bwazza
